Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
394,Landry Shamet\shamela01,SG,22,LAC,10,10,29.4,3,7.7,0.39,2.1,5.8,0.362,0.9,1.9,0.474,0.526,1,1,1,0,1.5,1.5,1.7,0.4,0.1,1.2,3.1,9.1
395,Iman Shumpert\shumpim01,SG,29,BRK,10,0,18.6,1.7,5.1,0.333,0.7,2.9,0.241,1,2.2,0.455,0.402,0.3,0.5,0.6,0.8,2,2.8,0.7,0.8,0.2,0.9,1.7,4.4
396,Pascal Siakam\siakapa01,PF,25,TOR,20,20,36.9,9.4,20.2,0.467,2.4,6.3,0.384,7,13.9,0.504,0.526,3.9,4.8,0.813,1.6,7,8.6,3.9,0.9,0.7,2.9,2.9,25.1
397,Chris Silva\silvach01,PF,23,MIA,19,0,10.1,1.5,2.2,0.683,0,0.1,0,1.5,2.1,0.718,0.683,1.1,1.5,0.714,1.9,2.2,4.1,0.6,0.3,0.7,1.3,2.8,4
398,Ben Simmons\simmobe01,PG,23,PHI,19,19,34.3,5.4,10.2,0.531,0.1,0.2,0.333,5.4,10.1,0.534,0.534,2.1,3.6,0.58,1.5,5.4,6.9,8.4,2.4,0.5,3.7,3.4,13
399,Anfernee Simons\simonan01,SG,20,POR,22,1,21.6,3.7,8.9,0.413,1.4,4.1,0.33,2.3,4.8,0.486,0.49,1.2,1.7,0.73,0.2,1.6,1.8,1.6,0.5,0.1,1.1,2,10
400,Marcus Smart\smartma01,SG,25,BOS,19,14,31.9,4.1,10.9,0.377,2.2,6.6,0.328,1.9,4.3,0.451,0.476,1.5,1.7,0.879,0.9,2.5,3.4,4.7,1.4,0.5,1.2,2.4,11.9
401,Dennis Smith\smithde03,PG,22,NYK,14,1,17.9,2.2,6.3,0.352,0.6,2,0.321,1.6,4.3,0.367,0.403,0.8,1.4,0.579,0.7,0.9,1.6,2.9,0.4,0.3,1.6,2.3,5.9
402,Ish Smith\smithis01,PG,31,WAS,19,5,23.4,3.4,7.9,0.433,0.7,2.3,0.326,2.7,5.6,0.477,0.48,0.4,0.7,0.615,0.6,2.4,3,3.9,0.8,0.4,1.1,1.7,8
403,Tony Snell\snellto01,SF,28,DET,18,16,25.5,2.9,6.2,0.464,1.9,4.4,0.443,0.9,1.8,0.515,0.621,0.2,0.2,1,0.3,1.4,1.7,1.6,0.4,0.1,0.5,1.9,7.9
404,Omari Spellman\spellom01,PF,22,GSW,22,0,18.6,2.8,6.6,0.428,0.7,2.1,0.34,2.1,4.5,0.469,0.483,1.5,1.8,0.825,2.4,3.4,5.7,1,0.7,0.7,1.4,1.2,7.9
405,Max Strus\strusma01,SG,23,CHI,2,0,3,1,1.5,0.667,0,0.5,0,1,1,1,0.667,0.5,0.5,1,0.5,0,0.5,0,0,0,0,0.5,2.5
406,Edmond Sumner\sumneed01,PG,24,IND,3,2,22.3,3,6,0.5,0,1,0,3,5,0.6,0.5,1,1.7,0.6,0.3,0.7,1,2,1.7,0.3,0.3,3,7
407,Caleb Swanigan\swanica01,PF,22,SAC,4,0,2.8,0.3,0.5,0.5,0,0,,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0.3,0.8,1,0,0.3,0.5,0.8,0.8,0.8
408,Jayson Tatum\tatumja01,PF,21,BOS,20,20,34.6,7.6,18.7,0.405,2.4,6.8,0.348,5.2,11.9,0.437,0.468,3.5,4.3,0.824,1.4,5.7,7,2.8,1.5,0.8,2.2,2.4,21
409,Jeff Teague\teaguje01,PG,31,MIN,16,11,28.9,3.5,8.8,0.4,0.6,2.4,0.256,2.9,6.3,0.455,0.436,4.2,4.9,0.859,0.4,2.2,2.6,7.4,0.9,0.3,2.1,2.2,11.8
410,Garrett Temple\templga01,SG,33,BRK,21,12,27.2,3.5,8.4,0.42,2.2,6,0.368,1.3,2.4,0.549,0.551,0.9,1.2,0.76,0.5,2.7,3.1,2.2,1,0.6,1,2.1,10.1
411,Daniel Theis\theisda01,C,27,BOS,17,16,21.9,2.6,5.3,0.489,0.1,0.8,0.143,2.5,4.5,0.553,0.5,1.2,1.8,0.677,1.6,5.3,6.9,1.3,0.5,1.6,0.8,3.1,6.5
412,Isaiah Thomas\thomais02,PG,30,WAS,17,14,24.9,4.8,10.8,0.446,2,4.9,0.41,2.8,5.9,0.475,0.538,0.9,1.2,0.8,0.2,1.6,1.8,5.1,0.5,0.2,2.2,2.2,12.6
413,Khyri Thomas\thomakh01,SG,23,DET,2,0,3,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5
414,Matt Thomas\thomama02,SG,25,TOR,12,0,11.3,1.7,3.1,0.541,1.2,2.2,0.538,0.5,0.9,0.545,0.73,0.3,0.4,0.6,0.1,1,1.1,0.3,0.3,0,0.3,1,4.8
